Protein	logFC	adj.P.Val	class
TMED3	-0.070441346	0.190806735143503	Non-significant
WWC3	0.0197001293708894	0.190806735143503	Non-significant
RINL	0.0138938430452415	0.191109274966208	Non-significant
TXLNG	-0.025741348	0.192496899176771	Non-significant
RAB29	0.0379874224564998	0.192911541489264	Non-significant
FGFBP1	0.0199608207402798	0.193137693146989	Non-significant
BCL2L14	-0.013521717	0.193302677979125	Non-significant
PPFIBP2	0.0200766595520204	0.193302677979125	Non-significant
DHPS	0.0246993654156083	0.193755150540467	Non-significant
AP1M1	-0.034083397	0.194448538324806	Non-significant
MLXIP	0.0147579913316571	0.19458495497779	Non-significant
BRD9	0.0349246736551845	0.194814998197681	Non-significant
NFRKB	-0.028320478	0.195042509403357	Non-significant
LEO1	0.0255442393232364	0.19508183756501	Non-significant
PPHLN1	0.0282229335481095	0.19520689924197	Non-significant
ELP2	0.0285187812678822	0.195309959755756	Non-significant
TMEM62	0.0114355651935691	0.195869479353964	Non-significant
LRRC32	0.00753948764623712	0.195869479353964	Non-significant
SMARCD2	-0.028890308	0.195869479353964	Non-significant
TAB3	-0.009272305	0.196066641082534	Non-significant
UBTF	-0.040670808	0.196115683608073	Non-significant
TECPR1	-0.02638497	0.196145734413603	Non-significant
CYTH2	-0.007986746	0.196385512600297	Non-significant
CPNE3	0.066717589500711	0.196773504157117	Non-significant
NID1	0.0725800020620957	0.196841236431078	Non-significant
FXR2	-0.023108326	0.19692184126972	Non-significant
TOMM5	-0.074352826	0.196973414036428	Non-significant
PRPF6	0.0299922846560765	0.197452205216467	Non-significant
TINAGL1	-0.070720834	0.197888628646473	Non-significant
TMTC3	0.0370657731698446	0.198886055682543	Non-significant
PLEKHA5	0.0402867525380175	0.198890389051314	Non-significant
ACSF2	-0.052912148	0.198918028915581	Non-significant
FCN2	0.0451989140096964	0.199130140646429	Non-significant
DDX56	0.0185936460628913	0.199637190523387	Non-significant
BEND3	-0.003601259	0.199769657928283	Non-significant
TGFBR2	0.012455413183889	0.199769657928283	Non-significant
RPS19	-0.112316062	0.200353547680122	Non-significant
RAB2B	-0.025879272	0.201582598651279	Non-significant
CYTH3	0.0190791768055201	0.201807866838609	Non-significant
ZNF706	-0.039552148	0.202313059734755	Non-significant
PCM1	-0.028148295	0.202561108770321	Non-significant
GON4L	-0.003415872	0.202964160749528	Non-significant
BUD13	0.0275502781139881	0.203001365992797	Non-significant
RHCE	-0.028764683	0.203235886446603	Non-significant
C9orf78	0.0252993246233852	0.203341445754366	Non-significant
CYLD	0.0298785101810275	0.203341445754366	Non-significant
NSA2	0.032989118704028	0.204198704487751	Non-significant
RHBDF2	0.0196034569242973	0.204664605762361	Non-significant
TRAF4	-0.007487862	0.204759489476688	Non-significant
CEP128	-0.014302415	0.205654015680684	Non-significant
CTNNB1	0.0639381685108709	0.205793424736397	Non-significant
CNTRL	-0.01767504	0.206225021399855	Non-significant
GHDC	-0.038079452	0.206242448385532	Non-significant
TAF5L	-0.009286999	0.206424717069614	Non-significant
HNRNPUL1	-0.040537658	0.206781783297522	Non-significant
ARL15	0.0136488338553341	0.206781783297522	Non-significant
APOM	0.0843019587137703	0.207178185961993	Non-significant
FMO3	-0.039939267	0.208015973024369	Non-significant
CAPN6	-0.025370322	0.208015973024369	Non-significant
RABGGTA	0.0243319501160941	0.208594619848074	Non-significant
ME1	0.0596508982865984	0.208829205756562	Non-significant
MAML2	-0.007522299	0.209010290412297	Non-significant
MRPS26	0.0595178969026022	0.209016903650843	Non-significant
CNKSR1	-0.004748769	0.209267426194815	Non-significant
PCNX3	-0.001943048	0.209351578158475	Non-significant
HPX	0.113473128449512	0.20961026163273	Non-significant
MYO1A	0.0769799971687805	0.209912889680221	Non-significant
NDUFA3	0.0694643882880899	0.210692956580794	Non-significant
CIC	0.0223744988792752	0.211072033024579	Non-significant
TMEM165	0.0422667159231376	0.211426838642162	Non-significant
CASS4	0.0041468243411233	0.21200117991466	Non-significant
YOD1	0.0242533800562521	0.213274509998733	Non-significant
BCR	-0.022772497	0.21360726854055	Non-significant
LIN7A	0.0388931030852761	0.213645781332405	Non-significant
UBE2E3	-0.009672213	0.214393157272746	Non-significant
HNRNPD	-0.048711713	0.214640389719153	Non-significant
MYADM	0.0294613381042913	0.214688674023797	Non-significant
EMC3	0.0368099194193847	0.215385642192675	Non-significant
SAP130	-0.024546966	0.216169848997967	Non-significant
GABARAPL2	-0.044869304	0.216878922395947	Non-significant
RAD50	-0.031916879	0.217376840941642	Non-significant
SCRN3	-0.02352142	0.21779993986146	Non-significant
C16orf70	0.0163906128891819	0.218032765064742	Non-significant
HSPA12A	0.0779852642221659	0.218216321048026	Non-significant
GABARAP	-0.021458868	0.21832300318459	Non-significant
HNRNPA2B1	0.0416567079197856	0.218353490584103	Non-significant
NUDT16	0.0448719946578796	0.218353490584103	Non-significant
FAM83E	0.0114586489423241	0.21925067688548	Non-significant
GNAI3	-0.039970876	0.219599262920015	Non-significant
C7orf25	-0.029419595	0.220006892601009	Non-significant
ZER1	0.0106139166442938	0.220820155052957	Non-significant
SIRT2	-0.033406768	0.221262877676425	Non-significant
SENP8	0.0100162604648996	0.221962601721704	Non-significant
DDX10	-0.013581425	0.221962601721704	Non-significant
ARL6IP6	-0.009923511	0.22211624573809	Non-significant
LSM12	0.0458818856650101	0.222152724084904	Non-significant
KDM3B	0.0189577822271736	0.222438748553685	Non-significant
PLCB4	-0.037604526	0.22278733353425	Non-significant
FBLN7	-0.0382655	0.222947045330779	Non-significant
NFYC	0.0362551052911225	0.223031411071985	Non-significant
COX7A1	0.0118313959538284	0.223146898810157	Non-significant
AKAP8	-0.028627336	0.223259104508207	Non-significant
PLRG1	0.033512966458658	0.223657756063723	Non-significant
PCSK1N	-0.134257277	0.223813660898557	Non-significant
FIP1L1	0.0387070691937912	0.22385935816261	Non-significant
HAUS4	-0.009162526	0.22385935816261	Non-significant
SCARF1	0.00166686282391239	0.224033070909043	Non-significant
PNKP	-0.028719985	0.224262550082534	Non-significant
WAPL	0.0291458380762593	0.224434110823713	Non-significant
SMIM24	-0.008310551	0.224434110823713	Non-significant
CALCOCO1	0.0294429933622496	0.225191355969352	Non-significant
RASEF	0.0189509376812469	0.225257399609496	Non-significant
CPS1	0.150977250569442	0.22556686210984	Non-significant
ZNF723	0.0764058493155882	0.22579669397092	Non-significant
QRICH1	0.0283177427208536	0.225946429243263	Non-significant
SARM1	0.02467261479367	0.226852242374912	Non-significant
TRAPPC4	0.0377284388585426	0.227230183200731	Non-significant
GNG2	0.0895979719760485	0.227334496385733	Non-significant
FNIP1	-0.007369795	0.227550826815337	Non-significant
RDH10	0.0273966974554888	0.227922710803165	Non-significant
NEO1	0.0246698980960757	0.228249849760654	Non-significant
RABEP1	0.0360604461018448	0.228249849760654	Non-significant
TMEM192	0.0207214494245105	0.22856060543548	Non-significant
BAZ2B	-0.006656514	0.228977734204703	Non-significant
ACAD11	0.0195566422314056	0.2291060683634	Non-significant
AP4B1	0.00674599887146196	0.229157463478623	Non-significant
POM121C	-0.0213109	0.229678064444592	Non-significant
GLYR1	0.033436435704767	0.22972306472521	Non-significant
PPP6R3	-0.025329561	0.230106922202214	Non-significant
SDHB	-0.073424602	0.230558513602099	Non-significant
PI4KA	0.0270036044373072	0.230736487192649	Non-significant
ABCD1	0.0248193500961387	0.230787215981188	Non-significant
SLC25A19	-0.017094324	0.23079244546526	Non-significant
AAR2	0.0146826495151145	0.230845076868729	Non-significant
CLU	0.0953758863985286	0.2309216396049	Non-significant
PSMA2	-0.040130244	0.231163732300283	Non-significant
ASMTL	-0.044499146	0.231969466719579	Non-significant
RFX3	0.0100681857983651	0.232081379700846	Non-significant
MSRA	0.0443886840390904	0.232198014245005	Non-significant
CARD10	0.00521414231942581	0.232780292728238	Non-significant
PNO1	-0.051071443	0.233171402635879	Non-significant
NUP205	0.0304307709850695	0.23323351944597	Non-significant
GTF2I	0.0337860958966534	0.233377685551375	Non-significant
BCLAF1	0.0406822235854705	0.233828786562396	Non-significant
GBP3	0.0630079720346703	0.233946373124894	Non-significant
DIP2B	0.0283761953001935	0.234605575179067	Non-significant
MORC3	0.026113040388885	0.235020934642421	Non-significant
ZFC3H1	-0.007046104	0.235588554476654	Non-significant
TOR1A	0.0218606728747215	0.236027520136661	Non-significant
RAB3IL1	0.0290405289899515	0.236098041500429	Non-significant
HELLS	0.0165161811478306	0.236130520153776	Non-significant
GFER	-0.029028681	0.236359099803819	Non-significant
HIST1H1C	0.0838113375719973	0.236915541995746	Non-significant
KTI12	-0.014566847	0.238122725199289	Non-significant
R3HDM1	-0.011523067	0.238879417263139	Non-significant
CSNK2A1	-0.028329547	0.239123549722606	Non-significant
SMARCC2	0.026567901754631	0.239422135347378	Non-significant
ART4	0.00506564160062226	0.240236189761902	Non-significant
POU2F1	0.0166717054431301	0.241029334801818	Non-significant
SMARCA1	0.0301419948587216	0.24104311740539	Non-significant
RBP2	-0.215897283	0.241275796629513	Non-significant
ARL6IP5	-0.067602881	0.241412548204037	Non-significant
AKR7A2	0.0566041544456799	0.2415655906639	Non-significant
CASP6	-0.04574827	0.241745174518393	Non-significant
FAM135A	-0.021369447	0.242578864526343	Non-significant
RALA	0.0563223844497047	0.242618504590932	Non-significant
ATP5MC3	0.0941359516958267	0.242730346154546	Non-significant
ANXA9	-0.061769486	0.242740299874735	Non-significant
KMT2E	-0.004235786	0.24344118390646	Non-significant
DAPP1	0.00508514592578124	0.243673923450174	Non-significant
PSME2	0.0433354947110556	0.245148506301761	Non-significant
RRP15	0.0353956642733433	0.245148506301761	Non-significant
CHD9	0.0221477630500394	0.245148506301761	Non-significant
PIBF1	0.0326827856043224	0.245878236395755	Non-significant
PPP1R8	0.0234189682779549	0.245967345720476	Non-significant
ZCCHC7	-0.002249128	0.245982225210485	Non-significant
MRPL27	0.0397628831882095	0.246048577894201	Non-significant
MTFR1L	0.0226465070148321	0.246931058001799	Non-significant
GOT1	-0.071941029	0.247278710809797	Non-significant
SCD	0.0196462760419663	0.248215843678477	Non-significant
GTPBP1	-0.029071826	0.248391417200214	Non-significant
PAPSS1	-0.037796068	0.248447690169595	Non-significant
NUDT18	-0.019869168	0.248461222983147	Non-significant
GLRX5	0.0447268054215247	0.248579646066276	Non-significant
RPA3	-0.055807835	0.248864537584132	Non-significant
ENPEP	0.0544417347939341	0.248884976645158	Non-significant
IDS	0.00866073683154671	0.248937767364686	Non-significant
PLXNA1	0.025282582880339	0.250593391610248	Non-significant
PAFAH1B1	0.0399291082524109	0.250911685987066	Non-significant
PRODH	-0.033571837	0.251270064527016	Non-significant
EMC2	0.044450658815157	0.251402729659024	Non-significant
PLEKHA1	0.0229559284064902	0.25335655588817	Non-significant
RAB5IF	-0.007355431	0.254002819732199	Non-significant
MINDY2	-0.013600163	0.254002819732199	Non-significant
WDR74	-0.015479452	0.254468675103981	Non-significant
NELFCD	-0.026129484	0.254528023235203	Non-significant
CTNNA1	-0.066595733	0.254940740825114	Non-significant
ARL8B	0.058244912027535	0.254959374490537	Non-significant
FBXW8	-0.018369194	0.255193027732654	Non-significant
HNRNPH2	-0.036640527	0.255193027732654	Non-significant
ME2	0.0452250218102215	0.25539588113339	Non-significant
UBR5	-0.016719261	0.255481019941925	Non-significant
NOL9	0.0215678295583788	0.256776118275076	Non-significant
TTL	-0.00659631	0.257425165634046	Non-significant
UBFD1	-0.039248389	0.257479719192504	Non-significant
CRK	-0.046520617	0.258359308379754	Non-significant
UBE2V1	-0.07108551	0.259166198386576	Non-significant
HDHD3	-0.044504934	0.259183385595394	Non-significant
CD3G	0.00861553714943869	0.259414358922658	Non-significant
ABHD16A	0.025510742779344	0.260525830472915	Non-significant
HMOX2	-0.049456717	0.260541624601378	Non-significant
TMUB2	0.00339852523008204	0.260600195192119	Non-significant
B3GAT3	-0.027716449	0.260783375571682	Non-significant
OLFML3	0.098927985528801	0.261371724866769	Non-significant
TLR3	-0.031316136	0.261478509257744	Non-significant
NDUFA12	-0.059338243	0.261881087039421	Non-significant
MRPL49	0.0333591848802475	0.262198214705312	Non-significant
TWISTNB	0.0149214242322361	0.262548966653341	Non-significant
NPTN	0.0381402543134026	0.263182445994756	Non-significant
TUBGCP3	0.0202752573445952	0.264552344100832	Non-significant
MTHFR	0.021424230509879	0.265667906239522	Non-significant
SULT1A4	0.087040863933177	0.266074807025867	Non-significant
SUGP1	-0.016706703	0.266894921104899	Non-significant
NCOA3	-0.013323194	0.266934070998916	Non-significant
NUP98	0.0182544234787367	0.267357186765725	Non-significant
RBM27	0.0313116118529022	0.267644392879292	Non-significant
GTF2H1	0.0149304006566062	0.268035015868175	Non-significant
NSD3	-0.020075705	0.268194695708808	Non-significant
MDH2	-0.07697737	0.269174103086291	Non-significant
NSMCE2	0.0114473091956918	0.269610534445999	Non-significant
USP46	-0.010407867	0.269622262845999	Non-significant
TOR2A	-0.005115595	0.270311546905423	Non-significant
EPSTI1	-0.030429422	0.270717802418361	Non-significant
DUSP11	0.00572240163271207	0.270921156388033	Non-significant
RSL1D1	-0.047891347	0.271771089145813	Non-significant
PPM1L	-0.011297294	0.271829702048122	Non-significant
USP20	-0.005192519	0.272574679730599	Non-significant
CYP3A4	-0.013463072	0.272716435101783	Non-significant
CYB5B	0.0417615396509917	0.272907661699199	Non-significant
QARS	-0.041146979	0.272921469005046	Non-significant
ADH1C	-0.131347664	0.273201195232659	Non-significant
MRPS33	0.0195918305357679	0.273619224370666	Non-significant
MCC	-0.018126615	0.273913359505736	Non-significant
GSTM4	-0.065538394	0.274110120475307	Non-significant
MRPL11	0.0408895512819496	0.274639938619486	Non-significant
DGAT1	-0.009257669	0.274763495815372	Non-significant
EXPH5	-0.011434161	0.274837663867435	Non-significant
PLAA	-0.023549683	0.274933819078978	Non-significant
PPIL4	-0.030184798	0.275293516506742	Non-significant
WASHC3	-0.025874229	0.27532392910265	Non-significant
STAU1	0.0392555620423263	0.2759082457993	Non-significant
DHX37	-0.026307374	0.2759082457993	Non-significant
UBE2Q1	0.0192807313590723	0.276291179281415	Non-significant
ZMAT2	0.0296204385283303	0.276461823028094	Non-significant
POLA2	-0.025141569	0.276827577776041	Non-significant
RAF1	-0.022279386	0.276864146868394	Non-significant
MFSD1	0.0109144674973728	0.277077146717083	Non-significant
AVL9	0.0233509948133017	0.277077146717083	Non-significant
UBXN2B	-0.017254044	0.277383584178952	Non-significant
TMEM59	-0.002669736	0.277675588198081	Non-significant
PLAC9	0.101166132742867	0.27771548321931	Non-significant
ATG13	-0.022838925	0.278463908346413	Non-significant
MRPL33	0.0111196039470183	0.278466694996954	Non-significant
AHDC1	-0.009876734	0.279058516674563	Non-significant
HDGF	0.0426226373705996	0.279058516674563	Non-significant
ITSN2	-0.021073984	0.279058516674563	Non-significant
PJA2	-0.023172862	0.279788089515891	Non-significant
TMEM41A	-0.020003252	0.279919856862315	Non-significant
KIRREL1	-0.006616518	0.281743364002834	Non-significant
PSMG2	0.0247802802286602	0.281803399736484	Non-significant
SMYD3	-0.011756042	0.282520108943139	Non-significant
ACTR1B	-0.050546607	0.28315604358909	Non-significant
KDM5C	0.00888586844916334	0.283497193546805	Non-significant
TAX1BP1	-0.020847935	0.283549623024216	Non-significant
TFIP11	0.0239449828236122	0.283859705370728	Non-significant
MTSS1L	-0.011840909	0.284714831084028	Non-significant
SCG5	-0.120661901	0.284809277492698	Non-significant
STBD1	0.0317825771605776	0.285303115061744	Non-significant
TCOF1	-0.032775157	0.285414853924595	Non-significant
CDK12	0.0226250153844549	0.286200560911453	Non-significant
KIAA1109	-0.044252368	0.28658144601586	Non-significant
ARHGEF40	-0.022625426	0.286993706150636	Non-significant
PHIP	-0.019245074	0.287011186315069	Non-significant
CNST	-0.00638011	0.287140035786259	Non-significant
REXO4	-0.01865364	0.287150849234659	Non-significant
AVIL	-0.029529972	0.287756586892975	Non-significant
ENO3	0.0228200931739623	0.288077330672256	Non-significant
PARP2	0.022975525344311	0.288598315007991	Non-significant
BRD7	0.0134539088928801	0.290066368837328	Non-significant
SLC25A3	0.104994579037382	0.290122744907364	Non-significant
ABT1	0.00784485230307119	0.290241035347905	Non-significant
RAD21	-0.021847689	0.290318574727931	Non-significant
USP48	0.0229125066286189	0.290618109045231	Non-significant
AUTS2	0.00317081324044892	0.290618109045231	Non-significant
NHSL2	0.0202812245194545	0.290709126107093	Non-significant
NUP160	-0.027668971	0.2909380422551	Non-significant
PLA2G2A	0.120400666837785	0.291994585832047	Non-significant
NOS1AP	0.00615119662846442	0.292462590709198	Non-significant
ATAD3B	-0.032615139	0.292630653498371	Non-significant
EPHB3	-0.027557313	0.293442569940163	Non-significant
KAT6A	-0.008332021	0.293486842624934	Non-significant
OSCP1	-0.008531509	0.293709112033337	Non-significant
CMPK1	0.0508471350272846	0.293709112033337	Non-significant
CDR2	0.00901665951758318	0.293771490299883	Non-significant
RGS19	0.0159175500675299	0.295002907293527	Non-significant
PHF21A	0.0146302245865547	0.29523803657721	Non-significant
MBD2	-0.023697599	0.296768636758995	Non-significant
USP7	0.0238146939369202	0.296953966832935	Non-significant
CLDND1	-0.004960642	0.297010997683875	Non-significant
SPICE1	0.00720559095532283	0.297496720511048	Non-significant
CHST4	0.0223592516272649	0.297759281985155	Non-significant
RALY	0.0612025166865466	0.29844326513045	Non-significant
DIDO1	0.0215169783716751	0.298802240550147	Non-significant
COL5A3	0.0193760866515412	0.298802240550147	Non-significant
APAF1	0.0280338168460488	0.299510480934513	Non-significant
PZP	-0.067815752	0.299528618145528	Non-significant
WASHC2C	0.0249235772820384	0.299528618145528	Non-significant
HSD17B2	-0.077877969	0.300630994845905	Non-significant
FAM129B	0.0465473364256082	0.30107004346139	Non-significant
ADGRL2	-0.015398093	0.30142638865322	Non-significant
MINK1	0.024414149561053	0.301539125813441	Non-significant
NCALD	0.0329074268312575	0.301880219743934	Non-significant
PNPLA4	-0.011622437	0.302002111321422	Non-significant
C19orf53	0.047502525114177	0.302002111321422	Non-significant
DENND6A	0.00599587635739557	0.30220778382643	Non-significant
NCKIPSD	-0.021587058	0.30220778382643	Non-significant
MPV17	0.0329106551710648	0.302958183911318	Non-significant
TBCD	-0.022171092	0.303853089847324	Non-significant
DPP3	0.0344883468201127	0.305104741765854	Non-significant
RNF20	-0.018954284	0.305117884680942	Non-significant
ELN	0.0282138790844014	0.305454777731845	Non-significant
ACTA1	-0.013510783	0.305559029307003	Non-significant
CEBPZOS	0.00660795407935658	0.305774285392279	Non-significant
ARRDC1	0.0313687660663767	0.305847130807445	Non-significant
TRAF6	0.0177194527260731	0.305916873152043	Non-significant
COMMD1	0.0382730269211059	0.308032897290548	Non-significant
FGF2	0.0198484475747331	0.308621007936961	Non-significant
ZMIZ1	0.0157712458146698	0.308928042027277	Non-significant
STX2	-0.007625834	0.311010323362728	Non-significant
TCF12	0.0176657843393923	0.311578396217536	Non-significant
LIG4	-0.013781315	0.311800337468799	Non-significant
HGS	0.0254287852976915	0.3119847764234	Non-significant
DPM3	-0.034709472	0.312486908530026	Non-significant
MRPL35	-0.024319968	0.312789582958234	Non-significant
CDC37L1	-0.015266854	0.312986751029437	Non-significant
SNCG	-0.121058701	0.314471187660975	Non-significant
GORAB	-0.01653686	0.314612542974534	Non-significant
CLP1	0.0139276731169352	0.315217191473987	Non-significant
RCHY1	0.0112671943591212	0.31570293203243	Non-significant
RIT1	-0.005872874	0.315962956967825	Non-significant
ZFP36L2	0.0267043683018586	0.316278320576827	Non-significant
HTRA2	0.0322414261444879	0.316489394881352	Non-significant
PDE11A	-0.036114345	0.316626734027945	Non-significant
NDUFA2	0.0738057561603567	0.316671580305234	Non-significant
DNAJB14	0.0165948534038854	0.3167130472133	Non-significant
LMAN2	-0.076714482	0.317521484978477	Non-significant
CHN1	-0.007395047	0.317934447735954	Non-significant
HNRNPA0	0.0395406316322462	0.31841900107151	Non-significant
NEB	-0.039681868	0.318804144121131	Non-significant
GNA12	0.00701266947040602	0.319421880074905	Non-significant
LZIC	-0.031616857	0.319523547795855	Non-significant
CCT7	0.0418284353264609	0.319829003311408	Non-significant
G3BP2	0.0283275355339647	0.3202016715456	Non-significant
DCAF1	-0.023833361	0.321581881620906	Non-significant
FRRS1	0.00707918093989042	0.321604957995467	Non-significant
SYNE1	-0.029300574	0.32254521117813	Non-significant
CFAP298	-0.016594686	0.322997448426633	Non-significant
HKDC1	0.0764727031173633	0.32420021679567	Non-significant
SP4	0.0143035058072797	0.324744080079719	Non-significant
RAB22A	0.0235833505641601	0.325451433985288	Non-significant
HYDIN	-0.060785311	0.326695337708322	Non-significant
SUFU	0.0101261340419147	0.326773450569493	Non-significant
PIP4P2	0.0140591474781596	0.326773450569493	Non-significant
HNRNPDL	-0.052798691	0.326773450569493	Non-significant
SECISBP2L	0.012997556135964	0.326956036116096	Non-significant
KHSRP	0.0277889099093951	0.327213159589985	Non-significant
SIRT7	-0.001783254	0.327803001182606	Non-significant
LRRC57	0.023744706065963	0.328513849847508	Non-significant
SIGLEC7	0.00454447417712751	0.329181555703804	Non-significant
NR2F6	-0.020658101	0.329510034566713	Non-significant
HMGXB4	-0.032914262	0.330488680620555	Non-significant
PUS3	-0.009718757	0.330675716324128	Non-significant
MAP2K2	0.0268487869991529	0.330750441276454	Non-significant
HSH2D	0.00376994091550373	0.33129869310886	Non-significant
PDCL	0.0119653960950059	0.33237435471094	Non-significant
NIFK	-0.023284862	0.33237435471094	Non-significant
CCDC32	-0.011155617	0.333670641934715	Non-significant
MDH1	0.0552945253314148	0.333725284938505	Non-significant
IQSEC2	0.0088353905851844	0.333756492035653	Non-significant
AKAP10	0.0293372294288685	0.333756492035653	Non-significant
PPIP5K1	0.0150755083758198	0.333771056935661	Non-significant
POLR2D	0.0228956448708677	0.333779787546282	Non-significant
ABLIM1	-0.038026863	0.3351991990107	Non-significant
MRPS18A	-0.028842027	0.337277215447972	Non-significant
SIPA1L2	-0.009016126	0.337450896784317	Non-significant
PPP3CB	-0.018489786	0.337450896784317	Non-significant
PHETA2	0.0131074147714611	0.337540263314344	Non-significant
GSTA1	-0.073083343	0.339777971267703	Non-significant
SLC35F6	-0.043368673	0.340220792011397	Non-significant
RALGAPB	-0.018530271	0.340361261095663	Non-significant
CLCA1	0.177079625667385	0.340946573445742	Non-significant
CHML	0.00919098173260618	0.341069901296351	Non-significant
MRPL17	-0.032617495	0.341204076558782	Non-significant
TSTD1	-0.080520481	0.341300111154253	Non-significant
MAP2K7	0.0115880408053979	0.341383609206713	Non-significant
ILVBL	0.0301079736984844	0.341569476984433	Non-significant
CA8	-0.007172622	0.341696379156716	Non-significant
GOSR2	-0.037678112	0.341935948706296	Non-significant
C1orf50	0.0159605962508965	0.34200839944057	Non-significant
PPAT	-0.028958773	0.342054661253444	Non-significant
ANKRD27	-0.022760038	0.342877329988897	Non-significant
TERF2IP	-0.019906194	0.343510173740572	Non-significant
SYNPO	0.0573644221618719	0.344155572612973	Non-significant
NDUFAF3	-0.018100002	0.344266399297661	Non-significant
ZFP36L1	0.0308613376449998	0.344266399297661	Non-significant
PCBD1	-0.094691521	0.344266399297661	Non-significant
PPWD1	0.0240729818110066	0.344767015860136	Non-significant
CHAC2	-0.02479548	0.345143421579538	Non-significant
FOLR2	0.0574583506979363	0.345189926939468	Non-significant
SNRPF	-0.046294733	0.346672935747392	Non-significant
FAR1	0.0103766697733169	0.346679425260207	Non-significant
VAV3	-0.022221156	0.346679425260207	Non-significant
EIF2AK4	0.0153563844906287	0.346897655892907	Non-significant
PITX3	0.0133416809458883	0.347474456451031	Non-significant
RMND1	-0.009820271	0.347659492363688	Non-significant
HIST1H2BG	-0.052043818	0.347899985629043	Non-significant
SYNGR1	-0.011135444	0.348680902332431	Non-significant
SRRM2	0.0195859347543337	0.349263143109923	Non-significant
APBA3	-0.022445851	0.349891655093892	Non-significant
C1orf174	-0.016906003	0.349891655093892	Non-significant
TNRC6C	-0.007020187	0.350006942592888	Non-significant
TNRC18	0.0190098648401776	0.350356239823601	Non-significant
LCMT1	-0.031631729	0.350593758352052	Non-significant
SNRNP200	-0.019605729	0.353030799242084	Non-significant
KIAA0754	0.0103802972635776	0.353278113799923	Non-significant
MRE11	0.0297101141457756	0.353555279006487	Non-significant
COP1	-0.012388063	0.353637420117046	Non-significant
AAK1	-0.017768536	0.354293078187815	Non-significant
CSNK2A2	0.02405959676543	0.355028420663389	Non-significant
KEAP1	0.0127481937654002	0.355070542295246	Non-significant
RBM19	-0.016499815	0.355070542295246	Non-significant
DNAH2	-0.005022984	0.35561144566413	Non-significant
MMRN1	-0.048249665	0.355723375093864	Non-significant
GYG1	-0.032525826	0.355836790488197	Non-significant
GLB1	-0.028015054	0.3558535919364	Non-significant
NPAT	0.00240930213037514	0.35618013061579	Non-significant
FAM111A	0.0168532656708337	0.35637923445256	Non-significant
PECAM1	0.03112844908769	0.35689085089667	Non-significant
AGPAT5	-0.036103597	0.357621402782898	Non-significant
ABHD5	-0.012096882	0.357823603354019	Non-significant
CCNK	0.0162474434641321	0.35832777363869	Non-significant
RNASE2	0.0501460796414224	0.358351362004448	Non-significant
TRERF1	-0.014902967	0.359151887571228	Non-significant
AOC3	-0.067684291	0.360222474564324	Non-significant
FAM208A	-0.015267013	0.360689607076769	Non-significant
ZFP64	0.0120509167029255	0.360931473318057	Non-significant
CCDC174	0.013582867845874	0.361231264971208	Non-significant
XRN2	-0.024407926	0.361841469865374	Non-significant
DSG2	0.0488445605168226	0.362171843623137	Non-significant
DDX31	-0.010807357	0.36241980536897	Non-significant
AKR1C3	-0.058367614	0.36246370684911	Non-significant
ASH1L	-0.003902173	0.363675370223451	Non-significant
FLYWCH2	-0.025496036	0.365447728148169	Non-significant
ZC3H13	0.0329887712107781	0.36605843546685	Non-significant
FAM160B2	-0.011510223	0.366640083545978	Non-significant
CLASP1	0.0180853887226675	0.366669475780744	Non-significant
ADPGK	-0.025720846	0.36833805444659	Non-significant
CLDN7	0.0123551723611578	0.368670982723205	Non-significant
LIG1	0.0193482642035613	0.370122777958548	Non-significant
VSIG1	0.0157511899890544	0.370122777958548	Non-significant
CCDC117	0.00933788693798043	0.370928857574603	Non-significant
DRG1	-0.039084953	0.371454401826544	Non-significant
TCEA1	0.0391647155547679	0.371960405443148	Non-significant
NAA40	0.00888772849144095	0.371981856406451	Non-significant
CDH6	0.0272401869479926	0.372277021386622	Non-significant
ANKIB1	0.0148168960088123	0.373022088428918	Non-significant
SCRN2	-0.032749866	0.373189998098927	Non-significant
CLNS1A	-0.027611849	0.373389136306953	Non-significant
MEN1	0.0162239360950561	0.37355077260099	Non-significant
POTEI	0.0385849449049314	0.373961764967603	Non-significant
SDE2	-0.01326259	0.374529343379303	Non-significant
TPI1	0.0359432691087065	0.374529343379303	Non-significant
CNOT2	0.0233358400307135	0.374529343379303	Non-significant
SLC9A6	-0.00682418	0.374964705424257	Non-significant
STAT5A	0.0153309038858697	0.375280839985634	Non-significant
SMYD2	0.00310957415023226	0.375332155152756	Non-significant
GSK3A	0.0147652937920454	0.375653782528551	Non-significant
SH3BP2	-0.009849947	0.376133279331565	Non-significant
STK11IP	0.010753447827591	0.376291602642604	Non-significant
ABI3	0.0304418001594902	0.376965998453139	Non-significant
SRRT	0.0225418751428315	0.377066633130528	Non-significant
ADSL	-0.031604577	0.37724818586926	Non-significant
STRN4	-0.018235182	0.378405581583204	Non-significant
CD101	0.00740614685556076	0.378405581583204	Non-significant
AES	-0.019665643	0.378632013614009	Non-significant
NAP1L1	-0.042012264	0.37869883056749	Non-significant
ARID4B	0.0117547228002789	0.37877333144569	Non-significant
FAM3C	-0.056310952	0.379186911369288	Non-significant
GNE	0.0341589903072208	0.379217925145848	Non-significant
ZNHIT6	0.0101401138482667	0.379664646239401	Non-significant
MED29	0.0251052533481915	0.379664646239401	Non-significant
