Protein	logFC	adj.P.Val	class
PCCB	-0.633176526	1.08489577114894e-27	Non-significant
MICU2	0.418333772545497	1.10220719868835e-27	Non-significant
ALDH1L1	-0.92061074	1.13529123825187e-27	Non-significant
PICALM	0.522294869143678	1.14866120756631e-27	Non-significant
MECP2	-0.560438085	1.18432535940638e-27	Non-significant
UCKL1	-0.418770066	1.23295818631458e-27	Non-significant
CALD1	0.882406368453482	1.23295818631458e-27	Non-significant
IGFBP7	1.14791167986848	1.30415359622968e-27	UP
FERMT3	0.726043271936165	1.3161020707697e-27	Non-significant
PDIA4	-0.84310442	1.68072673529423e-27	Non-significant
DDT	-0.867179166	1.70952725818021e-27	Non-significant
LMF1	-0.264299605	1.71908798432167e-27	Non-significant
OAS2	0.852958027546414	1.89240176094329e-27	Non-significant
PTGS1	0.434355428101883	1.9259926397841e-27	Non-significant
ALDH4A1	-0.538460678	1.9456029748486e-27	Non-significant
SORBS2	-0.612527525	2.21607312020374e-27	Non-significant
CTSB	0.767377510839157	2.24713933794383e-27	Non-significant
SLC25A45	-0.237082039	2.30436773313906e-27	Non-significant
LTBP3	0.420152713761134	2.3079905127266e-27	Non-significant
FBLIM1	0.704886757861365	2.37419240497764e-27	Non-significant
KCTD14	-1.018315783	2.37534126942589e-27	DOWN
CRTAP	0.640951992712217	2.41462414024755e-27	Non-significant
APOBEC2	-0.455652074	2.44225638500881e-27	Non-significant
KLC1	0.446662535118525	2.44970988114556e-27	Non-significant
ATP7B	-0.06333691	2.50967573180774e-27	Non-significant
PABPC1L	-0.487899403	2.56483734276772e-27	Non-significant
RBMS1	0.587735699813498	2.62109235838329e-27	Non-significant
CCDC90B	-0.458420038	2.62109235838329e-27	Non-significant
GSTM2	-0.777580872	2.6564562704866e-27	Non-significant
DPAGT1	-0.317532191	2.74679798836531e-27	Non-significant
MRM3	-0.333056858	2.84768251371606e-27	Non-significant
APOL2	0.643806754335858	2.89521000188119e-27	Non-significant
EPHX2	-0.939324003	2.89521000188119e-27	Non-significant
EMCN	-0.3569471	2.91124254802073e-27	Non-significant
FBLN2	0.960171401790543	2.9747120436599e-27	Non-significant
STK38	0.287234065153987	3.09965169390668e-27	Non-significant
